Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Coaches
2017-18,NHL,Carolina Hurricanes,82,36,35,,11,83,0.506,-0.35,-0.01,6th,"B. Peters (36-35-11), R. Brind'Amour (0-0-0)"
2016-17,NHL,Carolina Hurricanes,82,36,31,,15,87,0.53,-0.21,0.05,7th,B. Peters (36-31-15)
2015-16,NHL,Carolina Hurricanes,82,35,31,,16,86,0.524,-0.31,0.03,6th,B. Peters (35-31-16)
2014-15,NHL,Carolina Hurricanes,82,30,41,,11,71,0.433,-0.44,0.02,8th,B. Peters (30-41-11)
2013-14,NHL,Carolina Hurricanes,82,36,35,,11,83,0.506,-0.29,-0.01,7th,K. Muller (36-35-11)
2012-13,NHL,Carolina Hurricanes,48,19,25,,4,42,0.438,-0.65,0.02,3rd,K. Muller (19-25-4)
2011-12,NHL,Carolina Hurricanes,82,33,33,,16,82,0.5,-0.39,-0.02,5th,"P. Maurice (8-13-4), K. Muller (25-20-12)"
2010-11,NHL,Carolina Hurricanes,82,40,31,,11,91,0.555,-0.08,-0.04,3rd,P. Maurice (40-31-11)
2009-10,NHL,Carolina Hurricanes,82,35,37,,10,80,0.488,-0.37,-0.05,3rd,P. Maurice (35-37-10)
2008-09,NHL,Carolina Hurricanes*,82,45,30,,7,97,0.591,0.11,-0.05,2nd,"P. Laviolette (12-11-2), P. Maurice (33-19-5)"
2007-08,NHL,Carolina Hurricanes,82,43,33,,6,92,0.561,-0.15,-0.18,2nd,P. Laviolette (43-33-6)
2006-07,NHL,Carolina Hurricanes,82,40,34,,8,88,0.537,-0.29,-0.15,3rd,P. Laviolette (40-34-8)
2005-06,NHL,Carolina Hurricanes*,82,52,22,,8,112,0.683,0.29,-0.13,1st,P. Laviolette (52-22-8)
2003-04,NHL,Carolina Hurricanes,82,28,34,14,6,76,0.463,-0.46,-0.01,3rd,"P. Maurice (8-12-8-2), P. Laviolette (20-22-6-4)"
2002-03,NHL,Carolina Hurricanes,82,22,43,11,6,61,0.372,-0.9,-0.06,5th,P. Maurice (22-43-11-6)
2001-02,NHL,Carolina Hurricanes*,82,35,26,16,5,91,0.555,-0.09,-0.09,1st,P. Maurice (35-26-16-5)
2000-01,NHL,Carolina Hurricanes*,82,38,32,9,3,88,0.537,-0.24,-0.08,2nd,P. Maurice (38-32-9-3)
